productId,productName,productDesc,productPrice
16,Bat,this key is used to deferentiale ,234
17,Ball,this key is used to deferentiale ,2333
18,Pencil,this key is used to deferentiale ,5432
19,Pen,this key is used to deferentiale ,654
20,Paper,this key is used to deferentiale ,8765
21,Dog,this key is used to deferentiale ,987
22,Cat,this key is used to deferentiale ,678
23,Mouse,this key is used to deferentiale ,234
24,Keyboard,this key is used to deferentiale ,65
25,PC,this key is used to deferentiale ,123
26,Wire,this key is used to deferentiale ,2345
27,WireLess,this key is used to deferentiale ,456
28,Water,this key is used to deferentiale ,789
29,Oil,this key is used to deferentiale ,78
30,News,this key is used to deferentiale ,98
